id,timestamp,merchant_name,lat,lon
95,7/21/20 0:00,Monoprix,48.8233831,2.368329
96,7/24/20 0:00,Morrisons,51.5240704,0.5525169
97,7/20/20 0:00,ライフ,35.6844617,139.8440518
98,8/1/20 0:00,Morrisons,51.3653459,-0.1209161
99,8/6/20 0:00,Morrisons,51.5083726,-0.2727023
100,8/10/20 0:00,Naturalia,48.90127,2.3347454
101,8/4/20 0:00,ライフ,35.7408772,139.6688199
102,8/9/20 0:00,Amazon,1.3384238,103.751817
103,8/10/20 0:00,Amazon,1.3384238,103.751817
104,8/11/20 0:00,Amazon,1.3384238,103.751817
105,8/12/20 0:00,UFG Whole Foods,30.0019585,-90.1590081
106,8/12/20 0:00,UFG Whole Foods,28.6642475,-81.3814416
107,8/13/20 0:00,Whole Foods Market,39.913434,-105.0446913
108,8/13/20 0:00,UFG Whole Foods,41.5008897,-81.5368155
109,8/14/20 0:00,UFG Whole Foods,42.7102729,-73.8165423
110,8/14/20 0:00,Whole Foods Market,42.5151204,-71.0297633
111,8/14/20 0:00,Whole Foods Market,42.5293162,-83.3631611
112,8/15/20 0:00,Whole Foods Market,33.1310936,-96.6565457
113,8/15/20 0:00,Whole Foods Market,40.0020774,-75.2755694
114,8/15/20 0:00,All The Best Pet Care,47.7018448,-122.3625792
115,8/15/20 0:00,Amazon,37.3784992,-122.0069328
116,8/15/20 0:00,Amazon,40.7502706,-74.0371655
117,8/16/20 0:00,UFG Whole Foods,39.2139367,-76.8557901
118,8/16/20 0:00,Argonaut Wine & Liquor,39.7396485,-104.9778773
119,8/16/20 0:00,UFG Fresh,29.4969606,-98.3954245
120,8/16/20 0:00,UFG Whole Foods,32.7834444,-79.9961052
121,8/17/20 0:00,Whole Foods Market,32.3364568,-110.9781399
122,8/17/20 0:00,Amazon,29.8334138,-95.500484
123,8/17/20 0:00,Whole Foods Market,37.1028877,-76.4907572
124,8/17/20 0:00,Amazon,39.9866206,-83.1215046
125,8/17/20 0:00,UFG Whole Foods,42.2760711,-71.7467593
126,8/18/20 0:00,UFG Whole Foods,33.4599949,-86.7525584
127,8/18/20 0:00,Amazon,43.0118517,-87.9646551
128,8/19/20 0:00,Whole Foods Market,40.7579544,-111.8718955
129,8/19/20 0:00,UFG Whole Foods,33.9982204,-84.5901231
130,8/20/20 0:00,Whole Foods Market,42.345449,-71.0627816
131,8/21/20 0:00,Whole Foods Market,25.7719458,-80.1891218
132,8/21/20 0:00,Vintage Grape,40.7771424,-73.9548561
133,8/21/20 0:00,UFG Whole Foods,36.1576992,-115.2882113
134,8/21/20 0:00,UFG Whole Foods,35.5828749,-82.5250181
135,8/21/20 0:00,UFG Fresh,30.4450436,-97.7083219
136,8/21/20 0:00,UFG Whole Foods,38.7800288,-77.2349557
137,8/22/20 0:00,UFG Whole Foods,39.7086541,-105.0807669
138,8/23/20 0:00,Whole Foods Market,44.9431433,-92.9299249
139,8/24/20 0:00,Union Square Wines,40.7337304,-73.9900339
140,8/24/20 0:00,UFG Whole Foods,41.8821688,-87.6469767
141,8/24/20 0:00,Whole Foods Market,39.9629749,-75.1742142
142,8/25/20 0:00,Whole Foods Market,30.2639948,-97.7338841
143,8/25/20 0:00,Whole Foods Market,36.1576992,-115.2882113
144,8/25/20 0:00,UFG Whole Foods,33.7736107,-84.3658288
145,8/26/20 0:00,Amazon,40.7494569,-73.9853983
146,8/26/20 0:00,Whole Foods Market,41.7568119,-71.4574866
147,8/27/20 0:00,UFG Whole Foods,42.2579727,-83.6981585
148,8/27/20 0:00,UFG Whole Foods,34.0135241,-84.1840637
149,8/27/20 0:00,UFG Whole Foods,38.059773,-78.4891351
150,8/27/20 0:00,UFG Whole Foods,40.0020774,-75.2755694
151,8/27/20 0:00,Whole Foods Market,30.3899788,-97.7399303
152,8/28/20 0:00,Whole Foods Market,40.8076461,-73.9461771
153,8/28/20 0:00,Amazon,33.6902506,-117.8457542
154,8/28/20 0:00,UFG Whole Foods,37.7239319,-122.4549304
155,8/28/20 0:00,Whole Foods Market,42.9791144,-78.8168738
156,7/25/20 0:00,UFG Whole Foods,33.3775222,-86.8009937
157,7/28/20 0:00,UFG Whole Foods,32.3364568,-110.9781399
158,7/28/20 0:00,Whole Foods Market,35.934211,-86.8249366
159,7/30/20 0:00,Whole Foods Market,40.0020774,-75.2755694
160,7/31/20 0:00,Sprinkles Cupcakes,34.0491696,-118.2608507
161,8/1/20 0:00,UFG Whole Foods,33.7736107,-84.3658288
162,8/1/20 0:00,UFG Whole Foods,30.2215037,-97.8411819
163,8/3/20 0:00,UFG Whole Foods,40.0020774,-75.2755694
164,8/7/20 0:00,Whole Foods Market,32.7834444,-79.9961052
165,8/8/20 0:00,UFG Whole Foods,33.9101372,-117.8515073
166,8/8/20 0:00,UFG Whole Foods,39.9158817,-75.0114246
167,8/8/20 0:00,UFG Fresh,37.3940027,-121.8914169
168,8/9/20 0:00,Whole Foods Market,26.5479289,-81.8416758
169,8/10/20 0:00,Whole Foods Market,26.5479289,-81.8416758
170,8/10/20 0:00,Whole Foods Market,35.1134223,-89.8940677
171,8/11/20 0:00,Amazon,33.9759853,-84.114524
172,8/11/20 0:00,UFG Whole Foods,33.0728917,-97.0847642
173,8/11/20 0:00,Bristol Farms,33.6067564,-117.8743132
174,8/11/20 0:00,Whole Foods Market,32.8695816,-96.7686578
175,7/23/20 0:00,Morrisons,52.313192,-2.063441
176,7/21/20 0:00,NOW Store,13.0061991,77.6409615
177,7/24/20 0:00,ライフ,34.662934,135.4899169
178,8/7/20 0:00,NOW Store,28.525303,77.2831867
179,8/7/20 0:00,NOW Store,28.6174949,77.1135028
180,8/8/20 0:00,International,36.1270711,-79.860718
181,8/9/20 0:00,ライフ,35.6325878,139.6402383
182,8/10/20 0:00,ライフ,35.6325878,139.6402383
183,8/12/20 0:00,UFG Whole Foods,33.7559577,-118.1099255
184,8/12/20 0:00,Amazon,39.9866206,-83.1215046
185,8/12/20 0:00,Whole Foods Market,42.7282705,-84.4529551
186,8/13/20 0:00,UFG Whole Foods,40.8697563,-73.1259228
187,8/13/20 0:00,Whole Foods Market,32.3364568,-110.9781399
188,8/13/20 0:00,UFG Whole Foods,40.7155341,-74.0120518
189,8/13/20 0:00,Whole Foods Market,42.1663238,-87.8480691
190,8/13/20 0:00,Amazon,40.7494569,-73.9853983
191,8/14/20 0:00,Whole Foods Market,30.185809,-81.625728
192,8/14/20 0:00,UFG Whole Foods,37.8807065,-122.2978123
193,8/15/20 0:00,Whole Foods Market,33.7925761,-118.3309445
194,8/15/20 0:00,Whole Foods Market,41.7182424,-87.6821984
195,8/16/20 0:00,UFG Whole Foods,41.1583602,-73.2401552
196,8/16/20 0:00,UFG Whole Foods,42.3530868,-72.5555125
197,8/16/20 0:00,UFG Whole Foods,39.0345298,-94.5830169
198,8/17/20 0:00,Amazon,42.3334759,-71.0758291
199,8/17/20 0:00,UFG Whole Foods,40.789028,-73.5346026
200,8/18/20 0:00,UFG Whole Foods,40.8053626,-74.2480115
201,8/18/20 0:00,UFG Whole Foods,34.0135241,-84.1840637
202,8/19/20 0:00,Amazon,33.818156,-84.451347
203,8/19/20 0:00,UFG Whole Foods,39.7545752,-105.0013537
204,8/20/20 0:00,Whole Foods Market,37.7812623,-122.3997825
205,8/20/20 0:00,Whole Foods Market,29.9984967,-95.561974
206,8/20/20 0:00,Vintage Grape,40.7771424,-73.9548561
207,8/20/20 0:00,UFG Whole Foods,40.7400078,-74.1699916
208,8/20/20 0:00,UFG Whole Foods,41.8277244,-71.3864091
209,8/21/20 0:00,Whole Foods Market,42.2760711,-71.7467593
210,8/21/20 0:00,UFG Fresh,39.3399448,-84.4523809
211,8/22/20 0:00,All The Best Pet Care,47.5593544,-122.2861819
212,8/22/20 0:00,Amazon,37.3784992,-122.0069328
213,8/22/20 0:00,UFG Whole Foods,35.5828749,-82.5250181
214,8/23/20 0:00,UFG Whole Foods,32.9013187,-96.9603382
215,8/23/20 0:00,UFG Fresh,41.9871215,-87.9875254
216,8/23/20 0:00,Whole Foods Market,33.7559577,-118.1099255
217,8/23/20 0:00,UFG Whole Foods,38.6271091,-90.3478836
218,8/23/20 0:00,Amazon,39.3399448,-84.4523809
